timestamp_utc,packet_index,mode,selected_icao,status,icao_result,attempted_decryptions,total_packet_ms,packet_hex
2026-04-15T18:12:28.957Z,1,recv,A58B4D,UNKNOWN,000000,5,6.528905,8EA58B4D3C690684AC13629F7874
2026-04-15T18:12:29.056Z,2,recv,D411A5,ENCRYPTED,7C1D2E,3,1.576754,8DD411A5AE41624BC76E51FEAEB0
2026-04-15T18:12:29.160Z,3,recv,A58B4D,UNKNOWN,000000,5,3.640428,8CA58B4D474DD2195BA1195EF1BC
2026-04-15T18:12:29.260Z,4,recv,D411A5,ENCRYPTED,7C1D2E,3,2.810365,8FD411A57536238C191DB9FA3939
2026-04-15T18:12:29.364Z,5,recv,A1B2C3,UNKNOWN,000000,5,4.124923,89A1B2C35D3E98E89222D70783B2
2026-04-15T18:12:29.465Z,6,recv,A58B4D,UNKNOWN,000000,5,4.100399,89A58B4D885F2594B89D4105A801
2026-04-15T18:12:29.565Z,7,recv,959629,UNKNOWN,000000,5,3.601633,8A959629C1E0342627B5CD7AEB7F
2026-04-15T18:12:29.665Z,8,recv,45AB3C,UNKNOWN,000000,5,3.801185,8D45AB3C418643D26ADE6C869C23
2026-04-15T18:12:29.766Z,9,recv,A58B4D,UNKNOWN,000000,5,3.901793,89A58B4D721043209ACD3AB487F1
2026-04-15T18:12:29.866Z,10,recv,7C1D2E,UNKNOWN,000000,5,3.778169,897C1D2E4994F416411AC4219AF0
2026-04-15T18:12:29.966Z,11,recv,45AB3C,UNKNOWN,000000,5,3.466164,8E45AB3C389044871DF0DC1E9A65
2026-04-15T18:12:30.066Z,12,recv,CA2043,ENCRYPTED,7C1D2E,3,2.426481,8ECA2043BA587122315A6E17C633
2026-04-15T18:12:30.168Z,13,recv,A1B2C3,UNKNOWN,000000,5,3.689324,89A1B2C3B39BF7FC1F698D21A7A8
2026-04-15T18:12:30.267Z,14,recv,A26884,ENCRYPTED,A1B2C3,2,1.776567,8AA26884681541FA88E45A9B486A
